,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,2018,Philadelphia,8.0,8.0,34.8,0.435,0.276,0.705,12.6,3.0,0.9,1.9,21.4
1,2019,Philadelphia,11.0,11.0,30.4,0.428,0.308,0.822,10.5,3.4,0.7,2.3,20.2
2,2020,Philadelphia,4.0,4.0,36.2,0.459,0.25,0.814,12.3,1.3,1.5,1.3,30.0
3,2021,Philadelphia,11.0,11.0,32.4,0.513,0.39,0.835,10.5,3.4,1.0,1.5,28.1
4,Career,34,34.0,32.8,0.463,0.32,0.803,11.2,3.0,0.9,1.8,24.2,
