,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,2014,Portland,11.0,11.0,42.4,0.439,0.386,0.894,5.1,6.5,1.0,0.1,22.9
1,2015,Portland,5.0,5.0,40.2,0.406,0.161,0.781,4.0,4.6,0.4,0.6,21.6
2,2016,Portland,11.0,11.0,39.7,0.368,0.393,0.91,4.3,6.3,1.3,0.3,26.5
3,2017,Portland,4.0,4.0,37.8,0.433,0.281,0.96,4.5,3.3,1.3,0.5,27.8
4,2018,Portland,4.0,4.0,40.5,0.352,0.3,0.882,4.5,4.8,1.3,0.0,18.5
5,2019,Portland,16.0,16.0,40.6,0.418,0.373,0.833,4.8,6.6,1.7,0.3,26.9
6,2020,Portland,4.0,4.0,35.8,0.406,0.394,0.97,3.5,4.3,0.5,0.3,24.3
7,2021,Portland,6.0,6.0,41.3,0.463,0.449,0.94,4.3,10.2,1.0,0.7,34.3
