,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,2013,Golden State,12.0,12.0,41.4,0.434,0.396,0.921,3.8,8.1,1.7,0.2,23.4
1,2014,Golden State,7.0,7.0,42.3,0.44,0.386,0.881,3.6,8.4,1.7,0.1,23.0
2,2015,Golden State,21.0,21.0,39.3,0.456,0.422,0.835,5.0,6.4,1.9,0.1,28.3
3,2016,Golden State,18.0,17.0,34.3,0.438,0.404,0.916,5.5,5.2,1.4,0.3,25.1
4,2017,Golden State,17.0,17.0,35.3,0.484,0.419,0.904,6.2,6.7,2.0,0.2,28.1
5,2018,Golden State,15.0,14.0,37.0,0.451,0.395,0.957,6.1,5.4,1.7,0.7,25.5
6,2019,Golden State,22.0,22.0,38.5,0.441,0.377,0.943,6.0,5.7,1.1,0.2,28.2
