,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,2006–07,UCLA,36.0,1.0,9.0,0.457,0.409,0.548,0.8,0.7,0.4,0.0,3.4
1,2007–08,UCLA,39.0,34.0,33.8,0.465,0.338,0.713,3.9,4.3,1.6,0.2,12.7
