,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,2015,New Orleans,4.0,4.0,43.0,0.54,0.0,0.889,11.0,2.0,1.3,3.0,31.5
1,2018,New Orleans,9.0,9.0,39.8,0.52,0.273,0.828,13.4,1.7,2.0,2.4,30.1
2,2020,L.A. Lakers,21.0,21.0,36.6,0.571,0.383,0.832,9.7,3.5,1.2,1.4,27.7
3,2021,L.A. Lakers,5.0,5.0,28.8,0.403,0.182,0.833,6.6,2.6,0.6,1.6,17.4
