,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG,PIR
0,1995–96[25],Panathinaikos,17.0,17.0,33.2,0.446,0.322,0.825,7.4,1.8,0.5,0.0,20.1,
1,1997–98[26],Fortitudo Bologna,20.0,20.0,33.8,0.455,0.293,0.725,7.0,1.7,1.5,0.0,17.9,
