,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,2012–13,Portland,82.0,82.0,38.6,0.429,0.368,0.844,3.1,6.5,0.9,0.2,19.0
1,2013–14,Portland,82.0,82.0,35.8,0.424,0.394,0.871,3.5,5.6,0.8,0.3,20.7
2,2014–15,Portland,82.0,82.0,35.7,0.434,0.343,0.864,4.6,6.2,1.2,0.3,21.0
3,2015–16,Portland,75.0,75.0,35.7,0.419,0.375,0.892,4.0,6.8,0.9,0.4,25.1
4,2016–17,Portland,75.0,75.0,35.9,0.444,0.37,0.895,4.9,5.9,0.9,0.3,27.0
5,2017–18,Portland,73.0,73.0,36.6,0.439,0.361,0.916,4.5,6.6,1.1,0.4,26.9
6,2018–19,Portland,80.0,80.0,35.5,0.444,0.369,0.912,4.6,6.9,1.1,0.4,25.8
7,2019–20,Portland,66.0,66.0,37.5,0.463,0.401,0.888,4.3,8.0,1.1,0.3,30.0
8,2020–21,Portland,67.0,67.0,35.8,0.451,0.391,0.928,4.2,7.5,0.9,0.3,28.8
