,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,2006–07,Davidson,34.0,33.0,30.9,0.463,0.408,0.855,4.6,2.8,1.8,0.2,21.5
1,2007–08,Davidson,36.0,36.0,33.1,0.483,0.439,0.894,4.6,2.9,2.0,0.4,25.9
2,2008–09,Davidson,34.0,34.0,33.7,0.454,0.387,0.876,4.4,5.6,2.5,0.2,28.6
