,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,2016–17,Philadelphia,31.0,31.0,25.4,0.466,0.367,0.783,7.8,2.1,0.9,2.5,20.2
1,2017–18,Philadelphia,63.0,63.0,30.3,0.483,0.308,0.769,11.0,3.2,0.6,1.8,22.9
2,2018–19,Philadelphia,64.0,64.0,33.7,0.484,0.3,0.804,13.6,3.7,0.7,1.9,27.5
3,2019–20,Philadelphia,51.0,51.0,29.5,0.477,0.331,0.807,11.6,3.0,0.9,1.3,23.0
4,2020–21,Philadelphia,51.0,51.0,31.1,0.513,0.377,0.859,10.6,2.8,1.0,1.4,28.5
5,Career,260,260.0,30.6,0.487,0.329,0.808,11.3,3.1,0.8,1.7,24.8,
