,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,2013–14,Milwaukee,77.0,23.0,24.6,0.414,0.347,0.683,4.4,1.9,0.8,0.8,6.8
1,2014–15,Milwaukee,81.0,71.0,31.4,0.491,0.159,0.741,6.7,2.6,0.9,1.0,12.7
2,2015–16,Milwaukee,80.0,79.0,35.3,0.506,0.257,0.724,7.7,4.3,1.2,1.4,16.9
3,2016–17,Milwaukee,80.0,80.0,35.6,0.522,0.272,0.77,8.7,5.4,1.6,1.9,22.9
4,2017–18,Milwaukee,75.0,75.0,36.7,0.529,0.307,0.76,10.0,4.8,1.5,1.4,26.9
5,2018–19,Milwaukee,72.0,72.0,32.8,0.578,0.256,0.729,12.5,5.9,1.3,1.5,27.7
6,2019–20,Milwaukee,63.0,63.0,30.4,0.553,0.304,0.633,13.6,5.6,1.0,1.0,29.5
7,2020–21,Milwaukee,61.0,61.0,33.0,0.569,0.303,0.685,11.0,5.9,1.2,1.2,28.1
