,Year,Team,GP,GS,MPG,FG%,3P%,FT%,RPG,APG,SPG,BPG,PPG
0,1968,New York,4.0,,29.8,0.364,,0.778,5.5,6.3,,,9.5
1,1969,New York,10.0,,41.5,0.503,,0.596,7.4,9.1,,,21.2
2,1970,New York,19.0,,43.9,0.478,,0.764,7.8,8.2,,,16.0
3,1971,New York,12.0,,41.8,0.529,,0.733,5.8,4.5,,,22.6
4,1972,New York,16.0,,44.0,0.536,,0.736,7.0,6.1,,,24.3
5,1973,New York,17.0,,45.0,0.514,,0.777,7.3,6.2,,,21.9
6,1974,New York,12.0,,40.9,0.502,,0.898,7.9,4.0,1.8,0.3,22.5
7,1975,New York,3.0,,41.3,0.63,,0.813,6.7,7.0,3.7,0.0,23.7
